Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2022-04-22,818,821.6,803.1,811.6,815.6,1880668,15288.05349
2022-04-21,812,822,804.25,818.95,820.05,1344250,10958.1757
2022-04-20,800,813.45,792.1,810.1,810.45,1522453,12244.14776
2022-04-19,825,836.85,784.85,788,791.35,2460482,20063.01436
2022-04-18,816.2,824.9,809,822.5,822.3,1480954,12102.6105
2022-04-13,812.1,823.5,811.05,816.2,817.6,1036739,8477.637911
2022-04-12,821.5,822.85,802.55,811.55,812.1,1193490,9679.323085
2022-04-11,817.7,824,809.5,821.8,821.5,1231236,10084.91383
2022-04-08,810.5,819.85,804,817.5,817.7,1406219,11442.22095
2022-04-07,809,818.3,802.05,805,804.9,1965237,15950.31653
2022-04-06,810.45,812.5,797.05,807.4,809.25,2004175,16156.84568
2022-04-05,791,810,788.2,804,806.65,2912280,23282.09049
2022-04-04,792,795,781.75,787,788.1,1565651,12329.37389
2022-04-01,779.95,792.5,779,788.25,789.8,3082307,24285.5738
2022-03-31,767.95,780,765.9,777.3,777.4,2892133,22435.96372
2022-03-30,750,782.75,749,765.5,765.85,8328100,64164.02253
2022-03-29,742,747.75,735.6,741,743.2,985708,7314.999079
2022-03-28,734,746.2,728.15,738.9,741.25,1833105,13514.80866
2022-03-25,740,740,708.6,734,733.35,2968621,21598.30065
2022-03-24,748,751.6,738.7,739.85,740.5,1179087,8773.529192
2022-03-23,759.5,760,745.1,748,748.8,1103251,8290.058552
2022-03-22,750,758,731.4,753,752.9,3047970,22659.84243
2022-03-21,772,773.85,745.3,748.5,747.8,1889226,14300.34788
2022-03-17,758,774.45,754.25,772,772.3,3099238,23818.04162
2022-03-16,754,755.55,740.6,747.7,747.85,1959778,14640.36115
2022-03-15,724,774,723.75,748.9,748.6,9386502,70905.03323
2022-03-14,720,724,709.65,720.5,722.25,1584725,11407.50206
2022-03-11,724.3,726.05,707.45,716,716.45,2305707,16443.3607
2022-03-10,705.55,727.5,705.55,721,724.2,2574455,18512.58259
2022-03-09,685,705.9,678.3,699.9,699.15,1920634,13392.17832
2022-03-08,659,687.75,658,685,683.7,2850859,19174.2322
2022-03-07,659,673.5,650.2,662,659.85,2137318,14148.31292
2022-03-04,688.4,688.4,657.5,669.75,669.95,2833168,18979.92926
2022-03-03,712.15,718.75,684.55,688.75,687.05,2112330,14776.47291
2022-03-02,711.95,718.6,701.55,710,711,1938441,13740.37846
2022-02-28,699.5,720.8,694.55,716,718.6,1935344,13768.0429
